0,0 3 ,# StmtLoop ,REDUCE,StmtLoop->$
1,0 3 7 ,# StmtLoop int ,SHIFT
2,0 3 5 ,# StmtLoop VariableType ,REDUCE,VariableType->int
3,0 3 5 10 ,# StmtLoop VariableType id ,SHIFT
4,0 3 5 10 16 ,# StmtLoop VariableType id ( ,SHIFT
5,0 3 5 10 16 21 ,# StmtLoop VariableType id ( ParaLoop ,REDUCE,ParaLoop->$
6,0 3 5 10 16 21 7 ,# StmtLoop VariableType id ( ParaLoop int ,SHIFT
7,0 3 5 10 16 21 24 ,# StmtLoop VariableType id ( ParaLoop VariableType ,REDUCE,VariableType->int
8,0 3 5 10 16 21 24 28 ,# StmtLoop VariableType id ( ParaLoop VariableType id ,SHIFT
9,0 3 5 10 16 21 23 ,# StmtLoop VariableType id ( ParaLoop Para ,REDUCE,Para->VariableType id
10,0 3 5 10 16 19 ,# StmtLoop VariableType id ( FormalParaList ,REDUCE,FormalParaList->ParaLoop Para
11,0 3 5 10 16 18 ,# StmtLoop VariableType id ( FormalPara ,REDUCE,FormalPara->FormalParaList
12,0 3 5 10 16 18 22 ,# StmtLoop VariableType id ( FormalPara ) ,SHIFT
13,0 3 5 10 16 18 22 26 ,# StmtLoop VariableType id ( FormalPara ) { ,SHIFT
14,0 3 5 10 16 18 22 26 7 ,# StmtLoop VariableType id ( FormalPara ) { int ,SHIFT
15,0 3 5 10 16 18 22 26 31 ,# StmtLoop VariableType id ( FormalPara ) { VariableType ,REDUCE,VariableType->int
16,0 3 5 10 16 18 22 26 31 35 ,# StmtLoop VariableType id ( FormalPara ) { VariableType id ,SHIFT
17,0 3 5 10 16 18 22 26 30 ,# StmtLoop VariableType id ( FormalPara ) { InternalVariableStmt ,REDUCE,InternalVariableStmt->VariableType id
18,0 3 5 10 16 18 22 26 30 34 ,# StmtLoop VariableType id ( FormalPara ) { InternalVariableStmt ; ,SHIFT
19,0 3 5 10 16 18 22 26 30 34 46 ,# StmtLoop VariableType id ( FormalPara ) { InternalVariableStmt ; InternalStmt ,REDUCE,InternalStmt->$
